country,country_long,age_group_num,age_group_charac,increased_risk,high_risk
PNG,Papua New Guinea,75,75 to 79,0.812016,0.391974
PNG,Papua New Guinea,80,80 to 84,0.829498,0.409392
PNG,Papua New Guinea,85,85 to 89,0.837045,0.420228
PNG,Papua New Guinea,90,90 to 94,0.841640,0.416776
PNG,Papua New Guinea,95,95 plus,0.843196,0.404086
SLB,Solomon Islands,,all ages,0.210408,0.034478
SLB,Solomon Islands,0,Under 5,0.032356,0.000011
SLB,Solomon Islands,5,5 to 9,0.045787,0.000156
SLB,Solomon Islands,10,10 to 14,0.051095,0.000301
SLB,Solomon Islands,15,15 to 19,0.086399,0.004244
SLB,Solomon Islands,20,20 to 24,0.145490,0.008364
SLB,Solomon Islands,25,25 to 29,0.211446,0.022702
SLB,Solomon Islands,30,30 to 34,0.275394,0.034014
SLB,Solomon Islands,35,35 to 39,0.342259,0.050870
SLB,Solomon Islands,40,40 to 44,0.415862,0.058405
SLB,Solomon Islands,45,45 to 49,0.481114,0.085614
SLB,Solomon Islands,50,50 to 54,0.543745,0.108702
SLB,Solomon Islands,55,55 to 59,0.608637,0.150525
SLB,Solomon Islands,60,60 to 64,0.664123,0.167922
SLB,Solomon Islands,65,65 to 69,0.716537,0.209425
SLB,Solomon Islands,70,70 to 74,0.762065,0.231322
SLB,Solomon Islands,75,75 to 79,0.797174,0.262962
SLB,Solomon Islands,80,80 to 84,0.818245,0.270604
SLB,Solomon Islands,85,85 to 89,0.829336,0.277180
SLB,Solomon Islands,90,90 to 94,0.835283,0.277042
SLB,Solomon Islands,95,95 plus,0.845309,0.287423
SLE,Sierra Leone,,all ages,0.151417,0.032727
SLE,Sierra Leone,0,Under 5,0.031049,0.000015
SLE,Sierra Leone,5,5 to 9,0.042277,0.000194
SLE,Sierra Leone,10,10 to 14,0.049613,0.000375
SLE,Sierra Leone,15,15 to 19,0.074940,0.005231
SLE,Sierra Leone,20,20 to 24,0.103600,0.009764
SLE,Sierra Leone,25,25 to 29,0.143662,0.025151
SLE,Sierra Leone,30,30 to 34,0.185483,0.035991
SLE,Sierra Leone,35,35 to 39,0.230093,0.051593
SLE,Sierra Leone,40,40 to 44,0.287141,0.057722
SLE,Sierra Leone,45,45 to 49,0.340748,0.083422
SLE,Sierra Leone,50,50 to 54,0.398843,0.106033
SLE,Sierra Leone,55,55 to 59,0.473343,0.150773
SLE,Sierra Leone,60,60 to 64,0.557054,0.178385
SLE,Sierra Leone,65,65 to 69,0.641953,0.237837
SLE,Sierra Leone,70,70 to 74,0.717827,0.279343
SLE,Sierra Leone,75,75 to 79,0.775553,0.328703
SLE,Sierra Leone,80,80 to 84,0.813148,0.344737
SLE,Sierra Leone,85,85 to 89,0.834679,0.351253
SLE,Sierra Leone,90,90 to 94,0.849584,0.346294
SLE,Sierra Leone,95,95 plus,0.860553,0.348543
TLS,Timor-Leste,,all ages,0.167621,0.033010
TLS,Timor-Leste,0,Under 5,0.029004,0.000012
TLS,Timor-Leste,5,5 to 9,0.038226,0.000159
TLS,Timor-Leste,10,10 to 14,0.044194,0.000305
TLS,Timor-Leste,15,15 to 19,0.068750,0.004218
TLS,Timor-Leste,20,20 to 24,0.105547,0.008015
TLS,Timor-Leste,25,25 to 29,0.150383,0.021059
TLS,Timor-Leste,30,30 to 34,0.195367,0.030697
TLS,Timor-Leste,35,35 to 39,0.240519,0.044400
TLS,Timor-Leste,40,40 to 44,0.296305,0.049748
TLS,Timor-Leste,45,45 to 49,0.348987,0.071970
TLS,Timor-Leste,50,50 to 54,0.407614,0.091711
TLS,Timor-Leste,55,55 to 59,0.478516,0.129618
TLS,Timor-Leste,60,60 to 64,0.551140,0.149798
TLS,Timor-Leste,65,65 to 69,0.623162,0.194543
TLS,Timor-Leste,70,70 to 74,0.692488,0.225739
TLS,Timor-Leste,75,75 to 79,0.751400,0.269805
TLS,Timor-Leste,80,80 to 84,0.791046,0.290062
TLS,Timor-Leste,85,85 to 89,0.811999,0.303360
TLS,Timor-Leste,90,90 to 94,0.826298,0.307084
TLS,Timor-Leste,95,95 plus,0.838149,0.316569
